72,39,4,45,25,4,1,92,18,39,0
28,20,12,12,31,16,17,91,22,33,1
4,32,21,19,40,33,80,80,49,42,0
86,20,25,7,42,36,52,63,39,15,0
13,46,30,8,17,36,23,26,19,19,1
81,3,14,18,29,28,75,69,33,12,0
94,43,49,38,20,0,60,99,29,12,0
73,48,19,19,15,38,2,97,43,31,1
91,4,3,43,41,9,21,8,45,9,1
17,45,1,45,50,31,88,2,28,9,1
10,26,34,37,26,20,32,73,16,46,1
36,32,1,1,5,10,84,55,46,30,0
73,12,0,38,42,48,93,43,9,12,1
51,35,9,4,10,21,96,3,23,13,0
20,13,42,38,32,36,39,28,15,25,0
96,43,19,22,45,3,14,5,34,6,1
16,13,20,50,19,6,89,92,12,41,1
68,41,23,3,33,39,60,36,4,23,0
0,45,31,48,18,1,72,12,20,48,1
87,35,14,20,48,26,86,46,23,48,0
80,12,6,36,32,46,5,18,33,13,1
23,40,33,38,12,40,23,60,40,42,1
40,40,35,21,7,18,67,60,49,50,1
31,15,36,28,25,8,2,91,19,3,1
65,48,17,14,41,31,94,33,10,5,0
93,32,45,9,4,2,2,60,35,33,1
51,47,24,14,20,32,30,89,36,10,1
2,45,0,6,2,18,91,87,38,5,0
48,23,29,22,17,12,23,78,9,41,1
63,16,18,23,17,49,19,50,30,3,1
21,46,30,27,42,50,33,0,20,12,0
58,5,8,50,27,3,34,35,28,15,1
40,35,44,25,27,3,19,90,10,50,0
89,36,41,0,34,25,0,41,33,15,0
84,37,40,24,10,15,28,57,49,12,1
93,19,28,26,27,40,24,99,0,12,1
11,22,30,49,15,50,85,58,19,7,0
26,18,48,24,7,44,66,88,29,6,0
88,47,37,30,12,18,87,79,8,20,1
77,28,41,46,46,26,18,83,26,3,0
82,42,37,16,47,22,75,18,23,24,0
58,10,34,31,32,6,73,24,31,18,1
22,27,7,19,6,34,45,0,39,27,0
53,0,12,1,36,7,33,99,30,10,0
93,1,22,11,29,32,70,43,22,36,1
59,46,44,20,45,0,20,99,39,30,0
48,3,39,3,26,46,18,95,41,23,0
17,50,2,4,30,2,70,24,47,35,0
2,46,48,47,13,27,36,39,47,10,0
47,45,44,24,45,1,100,45,44,27,1
62,35,28,8,46,3,60,90,2,22,0
93,23,18,15,24,20,22,12,24,16,1
80,42,40,40,49,29,32,61,44,27,1
31,18,10,13,33,2,40,99,32,15,1
2,19,11,4,31,20,27,39,43,43,1
14,5,20,14,26,7,70,39,9,25,1
82,18,3,37,41,37,7,11,4,43,0
24,48,50,38,19,49,34,96,45,6,1
9,27,33,11,50,33,63,0,49,4,1
11,20,43,12,35,13,72,43,40,36,0
65,27,27,42,4,31,96,42,49,16,0
41,36,35,45,30,0,26,63,32,14,0
76,50,15,4,18,29,23,19,40,24,0
79,43,5,23,36,12,45,16,8,7,1
94,18,4,46,48,32,58,0,44,26,1
63,38,35,49,15,39,68,77,20,13,0
6,42,27,42,46,41,95,36,8,11,0
24,48,41,32,44,49,88,95,5,11,1
27,0,32,50,48,46,45,13,31,20,1
68,43,19,45,24,10,13,82,9,19,1
0,41,49,34,37,34,66,35,31,10,0
18,22,44,36,33,18,71,11,37,35,0
79,26,3,18,1,5,45,35,21,21,1
36,20,24,30,17,18,18,88,10,20,1
